Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
18,59,"(1, 1, 2)",1839.5690006957325,1500.8330026945796,706.2791152585282,1010.9796108517372,1035.1648689050314,1048.2960683840236,0
3,87,"(1, 1, 2)",1400.42851560476,211.61668553242984,63.70169563373544,293.8574856266121,289.58779328111444,348.7934174712643,0
5,17,"(1, 1, 2)",1560.6321694612313,672.0299203497779,501.6988502296291,364.1540174460346,308.7435575712057,390.0760266088781,0
38,14,"(0, 1, 2)",1507.3471686159203,419.42149731255176,317.59835414402687,141.07168287423912,157.11469678670048,185.63467291207132,0
11,59,"(1, 1, 2)",1847.6012877392452,1336.0245925131615,527.1803233586406,897.5349721107335,936.4670048569468,945.3189062524964,0
16,12,"(0, 1, 2)",1545.6898734922524,998.0654884977358,471.02380431518395,1431.9042385131934,1511.8702361569256,1704.5803459797053,0
4,28,"(0, 1, 2)",1331.3309980331057,225.78961150411286,42.38919752763412,258.04733293637315,260.00370892332154,303.85423505517247,0
17,93,"(0, 1, 2)",1643.7329861968126,957.5940458798564,260.9401330155011,948.2126453557717,780.9988844602475,981.701159681682,0
20,60,"(0, 1, 2)",1317.601854174293,126.02293031628399,68.00051886116319,85.39016933058024,85.36763996249412,110.3218637679861,0
29,28,"(2, 1, 2)",1310.838450695989,303.34214715172624,79.95086237163332,174.72104580031163,176.83249252860944,217.64546853475238,0
24,85,"(2, 1, 2)",1627.9305130973337,377.9261362273625,285.7686404451486,390.9800071948086,359.9431640133909,435.3103672499488,0
25,83,"(2, 1, 2)",1188.2890463493163,141.78915917827348,33.220465734615765,69.790967373487,72.24442512820401,86.7941378640534,0
30,11,"(2, 1, 2)",1423.4914571887318,213.25931156576084,121.88236287955213,216.11330999179322,215.39304316986033,234.95896055086968,0
13,50,"(2, 1, 2)",1547.3152867126894,428.42746313838023,77.23118932397514,587.2776676507829,497.04154546215506,637.4392840633166,0
4,35,"(2, 1, 2)",1629.2079815643456,589.5159964025484,111.71351416464277,706.5660443131512,734.0213348521228,920.6313231574472,0
7,27,"(1, 1, 2)",1251.1800653044886,183.19088123504832,12.378016342882871,103.43403267725728,115.19126332945075,144.5263197178591,0
7,29,"(1, 1, 2)",1483.7471739965442,311.1022404116007,149.0456110737522,216.6949825042345,242.99921845312844,314.45014830492727,0
27,31,"(1, 1, 2)",1722.6159258974278,1266.4835193124577,771.6406754676578,1594.9256206956948,1288.1171470132047,1625.7109843978765,0
26,26,"(0, 1, 2)",1652.5958275995724,1192.107848628575,337.0077278893878,952.7964694623575,936.8015320265281,1143.4651944277628,0
41,52,"(0, 1, 2)",1540.6522557555181,525.6553458717266,196.4948127523697,379.84250928346734,373.92610093135806,448.01047550950983,0
3,29,"(1, 1, 2)",1560.4520592580734,461.1575741507392,325.88722434203316,270.2713718493813,263.8772015226918,315.3782465199961,0
36,74,"(0, 1, 2)",1245.560486482329,79.87930698963767,18.223088130813334,51.04571182555997,54.17267704070298,67.22527009126131,0
28,30,"(1, 1, 2)",1546.2368483696964,429.74756896397224,97.81669027696468,927.0504505310383,802.3972421057654,937.9413370388435,0
12,56,"(2, 1, 2)",1533.168282110857,723.0160905708335,698.0715023180842,726.4805885768993,840.5706450255317,1310.642450894235,0
8,29,"(2, 1, 2)",1640.0402458571577,662.9230760479851,90.10942780892151,756.7115472653225,673.8356186899059,751.0913914116284,0
44,85,"(1, 1, 2)",1174.0392989475763,95.87325419661006,19.740647869496478,44.675928893882286,48.015436697985535,55.23966885296297,5
38,74,"(1, 1, 2)",1222.1287400273422,73.94971262258291,23.48506407512714,91.14334995676913,103.60582576545289,137.77770793948486,0
45,6,"(2, 1, 2)",1922.0758977202192,2334.522359900688,1685.144948040177,1307.6797761566852,1439.0984351322106,1624.2631602837394,0
16,81,"(2, 1, 2)",1491.0811298332558,737.1093106048608,349.4168769236479,343.17878026141733,384.48021758320976,490.5682623339424,0
22,83,"(2, 1, 2)",1439.2725362123556,458.97077936563284,155.0297547740651,144.73482319770525,163.1749770957561,208.25879309183588,0
31,30,"(2, 1, 2)",1536.0288393393166,553.8143192629101,214.66595203506944,1308.6405322757196,1400.2026263859082,1524.8796498833644,0
34,59,"(1, 1, 2)",1578.7944283237757,395.6699164755889,34.04677375098657,346.0709810899238,353.2593252446068,363.55085735900343,0
