Date,IsHoliday,WeightSum,LightGBMWeightedErrorSum,PatchTSTWeightedErrorSum,LightGBMWMAE,PatchTSTWMAE,PatchTSTMinusLightGBM,PatchTSTRegretPct,Winner
2012-07-13,False,2952.0,4352310.881784567,4517425.3788997,1474.36005480507,1530.2931500337738,55.933095228703905,3.7937202005990933,LightGBM
2012-07-20,False,2952.0,4510578.993989243,4584479.0303458,1527.9739139529956,1553.007801607656,25.033887654660248,1.6383714032064622,LightGBM
2012-07-27,False,2933.0,4218735.462862231,4428585.24226347,1438.3687224214902,1509.916550379635,71.54782795814481,4.974234133629807,LightGBM
2012-08-03,False,2967.0,4866791.293152574,4881421.5889339,1640.3071429567153,1645.238149286788,4.931006330072705,0.30061481785566,LightGBM
2012-08-10,False,2957.0,4594801.656063035,4613131.4428359,1553.8727277859437,1560.071505862665,6.198778076721283,0.3989244399413394,LightGBM
2012-08-17,False,2955.0,4835637.656285432,5149134.6409919,1636.4256028038687,1742.5159529583418,106.09035015447307,6.483053673365702,LightGBM
2012-08-24,False,2960.0,5563265.925956476,5953538.5896121,1879.4817317420525,2011.3306045986826,131.84887285663012,7.015171822629118,LightGBM
2012-08-31,False,2962.0,6101426.311882979,5844087.91661237,2059.900848036117,1973.0209036503613,-86.87994438575583,-4.217676033707452,PatchTST
2012-09-07,True,14830.0,25257933.417401616,27438067.181781765,1703.1647617937704,1850.1731073352505,147.00834554148014,8.631481160205023,LightGBM
2012-09-14,False,2967.0,4262952.1338884635,4542328.99590075,1436.7887205555994,1530.9501165826593,94.16139602705994,6.553600726392683,LightGBM
2012-09-21,False,2959.0,4618006.199533351,4768159.081328,1560.6644810859584,1611.4089494180466,50.74446833208822,3.251465574251977,LightGBM
2012-09-28,False,2962.0,4821028.248012973,5115305.286502699,1627.6260121583298,1726.9768016551989,99.35078949686908,6.104030579182251,LightGBM
2012-10-05,False,2976.0,5250076.549456536,5538338.5197556,1764.1386254894273,1861.00084669207,96.86222120264256,5.49062413821193,LightGBM
2012-10-12,False,2990.0,4925995.639203418,4975944.070679,1647.4901803355913,1664.1953413642138,16.70516102862257,1.0139763640484745,LightGBM
2012-10-19,False,2950.0,5028241.446502984,4761849.8012774,1704.4886259332147,1614.186373314373,-90.30225261884175,-5.2979087830170135,PatchTST
2012-10-26,False,2959.0,4855516.014808479,4831130.506665099,1640.93140074636,1632.6902692345723,-8.241131511787671,-0.5022227929844747,PatchTST
