Store,Dept,WeightSum,LightGBMWeightedErrorSum,PatchTSTWeightedErrorSum,MeanSales,LightGBMWMAE,PatchTSTWMAE,Difference,Winner
3,21,47.0,10042.599264572777,10708.6007,1401.9846153846154,213.67232477814417,227.8425680851064,14.17024330696222,LightGBM
3,22,47.0,48307.44966933557,42970.788,3794.398974358974,1027.8180780709695,914.272085106383,-113.5459929645865,PatchTST
3,23,47.0,116794.90180448072,172429.731,13548.723076923075,2484.997910733632,3668.717680851064,1183.7197701174318,LightGBM
3,24,47.0,34182.426046394634,31779.027299999998,2934.295897435897,727.285660561588,676.1495170212766,-51.13614354031142,PatchTST
3,25,47.0,38138.83275428631,55532.4973,5081.445641025641,811.4645266869428,1181.542495744681,370.0779690577382,LightGBM
3,26,47.0,31981.14486371212,25908.8855,2695.978974358974,680.4498907172791,551.2528829787234,-129.19700773855573,PatchTST
3,27,47.0,5681.099773961366,7165.195119999999,491.0820512820513,120.87446327577373,152.45095999999998,31.576496724226246,LightGBM
3,28,47.0,3282.878363679664,1852.8758579999999,137.05435897435896,69.84847582297157,39.422890595744676,-30.42558522722689,PatchTST
3,29,47.0,14083.932436407844,16417.8502,1375.3392307692309,299.65813694484774,349.31596170212765,49.65782475727991,LightGBM
3,30,47.0,17634.604796694253,16085.439400000001,1521.0658974358973,375.20435737647347,342.2433914893617,-32.96096588711174,PatchTST
3,31,47.0,10377.356128882227,8683.425490000001,928.2312820512819,220.79481125281336,184.75373382978725,-36.04107742302611,PatchTST
3,32,47.0,57224.346494121295,73160.3616,4673.793076923077,1217.5392871089637,1556.6034382978723,339.0641511889087,LightGBM
3,33,47.0,41003.8735771283,49187.6918,3629.1371794871798,872.4228420665596,1046.5466340425533,174.12379197599364,LightGBM
3,34,47.0,40773.46790170484,49587.7241,5001.888461538461,867.5205936532944,1055.057959574468,187.53736592117355,LightGBM
3,35,47.0,21989.791832051098,21843.7429,1299.1438461538462,467.86791132023615,464.76048723404256,-3.107424086193589,PatchTST
3,36,47.0,16594.751528441306,14932.017774,411.3941025641026,353.07981975407034,317.70250582978724,-35.3773139242831,PatchTST
3,38,47.0,525632.9130285848,312716.033,90633.38846153846,11183.679000608186,6653.532617021277,-4530.14638358691,PatchTST
3,40,47.0,83375.8742885383,88986.724,19819.61,1773.9547720965595,1893.3345531914895,119.37978109492997,LightGBM
3,41,47.0,15183.737556993423,7915.48674,461.39076923076925,323.0582458934771,168.4146114893617,-154.64363440411537,PatchTST
3,42,47.0,49134.05947234147,52737.372899999995,5123.252051282051,1045.4055206881164,1122.0717638297872,76.66624314167075,LightGBM
3,44,47.0,21131.37512203337,19492.8161,2451.0441025641026,449.60372600070997,414.74076808510637,-34.8629579156036,PatchTST
3,46,47.0,24924.017563221598,27569.4466,6270.974102564102,530.2982460259915,586.583970212766,56.28572418677447,LightGBM
3,49,47.0,10684.544328846448,343.55999999999995,17.108974358974358,227.33073040098827,7.309787234042552,-220.02094316694573,PatchTST
3,51,7.0,350.19682407662793,35.695555,3.565714285714286,50.02811772523256,5.099365,-44.92875272523256,PatchTST
3,52,47.0,6478.1363423940875,7080.962460000002,1011.178717948718,137.83268813604442,150.6587757446809,12.82608760863647,LightGBM
3,54,33.0,4927.6025949644745,1333.9461999999999,29.57931034482759,149.32129075649922,40.42261212121212,-108.8986786352871,PatchTST
3,55,47.0,53389.27014900472,67373.6306,7558.758974358973,1135.9419180639302,1433.4815021276597,297.53958406372954,LightGBM
3,56,47.0,26733.662319529907,27059.788687,2076.944102564102,568.8013259474449,575.7401848297873,6.938858882342402,LightGBM
3,59,31.0,1420.8333144071955,1016.22425337,8.087826086956522,45.833332722812756,32.78142752806452,-13.051905194748237,PatchTST
3,60,47.0,2329.505530606361,1680.836546,136.9076923076923,49.56394745970981,35.762479702127656,-13.801467757582152,PatchTST
3,67,47.0,24520.58671026815,20850.1389,1979.9479487179487,521.7146108567691,443.61997659574473,-78.0946342610244,PatchTST
3,71,47.0,27343.99307045129,28855.16918,1516.2217948717948,581.7870866053466,613.939769787234,32.15268318188737,LightGBM
3,72,47.0,325019.52605366125,365275.32399999996,27618.862051282053,6915.309064971516,7771.815404255319,856.5063392838028,LightGBM
3,74,47.0,34070.98492738446,30631.9431,3768.61717948718,724.9145729230736,651.7434702127659,-73.17110271030765,PatchTST
3,79,47.0,25282.158782491104,39010.0533,7576.081538461538,537.9182719678959,830.0011340425532,292.0828620746573,LightGBM
3,80,8.0,22338.733401982245,229.77848,6.64,2792.3416752477806,28.72231,-2763.6193652477805,PatchTST
3,81,47.0,6764.231593728825,15883.2535,1833.0648717948718,143.9198211431665,337.94156382978724,194.02174268662074,LightGBM
3,82,47.0,59296.43357709367,85948.31850000001,7754.62076923077,1261.626246321142,1828.6876276595747,567.0613813384327,LightGBM
3,83,1.0,854.2346588180565,3391.5406000000003,19.33,854.2346588180565,3391.5406000000003,2537.305941181944,LightGBM
3,85,47.0,14638.418798610901,12659.55977,708.1276923076923,311.4557191193809,269.3523355319149,-42.103383587466,PatchTST
3,87,47.0,17225.38544334588,27400.18127,1298.4348717948717,366.4975626243804,582.9825802127659,216.48501758838552,LightGBM
3,90,47.0,15294.45435583894,3552.7155000000002,1746.4661538461537,325.4139224646583,75.58969148936171,-249.8242309752966,PatchTST
3,91,47.0,4758.710821609925,5213.64981,443.61538461538464,101.24916641723244,110.92871936170212,9.679552944469677,LightGBM
3,92,47.0,36125.927892346466,69331.7542,9058.303333333333,768.6367636669461,1475.1437063829787,706.5069427160327,LightGBM
3,94,25.0,51059.581626479616,18410.2061,755.2858823529413,2042.3832650591846,736.408244,-1305.9750210591847,PatchTST
3,95,47.0,61718.132278301506,127907.08099999999,19062.085384615384,1313.1517506021596,2721.4272553191486,1408.275504716989,LightGBM
3,96,47.0,34219.7532742421,29154.580700000002,3914.7069230769234,728.0798568987682,620.3102276595745,-107.7696292391937,PatchTST
3,97,47.0,6564.679821138757,3718.39893,497.5917948717949,139.67403874763312,79.11487085106383,-60.55916789656929,PatchTST
3,98,14.0,22728.44531133389,238.99769,31.198,1623.4603793809922,17.07126357142857,-1606.3891158095637,PatchTST
4,1,47.0,256305.5222910151,379382.594,36689.71179487179,5453.308984915215,8071.970085106383,2618.661100191168,LightGBM
4,2,47.0,229988.68409738567,205522.88,99990.96384615384,4893.3762573911845,4372.827234042553,-520.5490233486316,PatchTST
4,3,47.0,76439.01855961916,96755.617,21159.94846153846,1626.3620970131735,2058.6301489361704,432.26805192299685,LightGBM
4,4,47.0,94657.9139265588,88921.59500000004,59116.24153846154,2013.9981686501874,1891.948829787235,-122.04933886295248,PatchTST
